TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,25,25,25,25,25,25,25,25,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,4,4,4,4,4,4,
10,24,24,24,24,24,24,25,25,25,25,
11,0,0,4,4,9,9,9,9,9,9,
12,11,11,31,31,31,31,31,31,31,31,
13,7,7,7,7,12,12,12,12,49,49,
14,7,7,8,8,8,8,8,8,9,9,
15,44,44,44,44,48,48,49,49,75,75,
16,13,13,15,15,16,16,17,23,23,23,
17,36,36,50,50,143,143,199,199,209,209,
18,16,16,17,17,19,33,33,38,41,47,
19,60,60,101,101,120,120,126,126,128,128,
20,66,67,71,77,81,87,88,88,91,91,
21,65,65,130,130,137,137,140,140,147,147,
22,51,59,71,78,84,90,91,93,100,115,
23,89,89,112,112,125,125,130,130,153,158,
24,34,60,70,72,76,81,81,98,111,113,
25,126,126,131,131,146,146,165,169,180,188,
26,52,83,89,89,95,107,112,115,127,157,
27,92,92,96,96,135,140,162,165,216,227,
28,50,63,76,86,98,100,106,133,157,270,
29,95,95,103,107,134,136,182,198,299,332,
30,64,71,87,89,100,125,140,234,247,359,
31,102,104,113,115,153,165,240,264,330,345,
32,52,62,72,91,100,164,178,282,298,345,
33,79,82,108,116,170,182,240,257,287,287,
34,54,69,81,124,139,217,230,272,272,272,
35,85,93,129,142,178,190,218,218,218,218,
36,42,74,84,139,150,185,185,185,185,185,
37,52,56,84,91,117,117,117,117,117,117,
38,40,62,70,96,96,96,96,96,96,96,
39,26,30,53,53,53,53,53,53,53,53,
40,21,43,43,43,43,43,43,43,43,43,
41,20,20,20,20,20,20,20,20,20,20,
42,13,13,13,13,13,13,13,13,13,13,
