TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,12,12,12,12,12,12,12,12,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,2,2,3,3,6,6,
9,12,12,12,12,16,16,18,18,22,22,
10,12,12,25,25,25,25,25,25,25,25,
11,1,1,5,5,17,17,17,17,19,19,
12,7,7,16,16,21,21,21,21,21,21,
13,1,1,3,3,13,13,16,16,35,35,
14,9,9,9,9,10,10,13,13,18,18,
15,59,59,64,64,69,69,70,70,75,75,
16,37,37,37,37,43,43,44,45,45,45,
17,72,72,89,89,119,119,152,152,153,153,
18,34,34,37,37,41,42,45,45,48,48,
19,63,63,82,82,88,88,94,94,96,97,
20,39,39,41,42,46,46,49,49,55,55,
21,58,58,87,87,101,101,102,102,104,104,
22,77,78,81,82,87,89,99,100,104,109,
23,79,79,94,94,101,103,116,117,129,137,
24,47,48,57,57,71,71,77,84,101,103,
25,75,75,89,90,96,99,109,118,133,150,
26,63,63,77,77,88,92,103,106,136,164,
27,88,89,100,103,131,140,150,164,224,252,
28,68,68,89,91,111,113,128,157,195,298,
29,76,81,86,97,114,127,172,207,307,353,
30,71,75,95,96,116,143,172,249,280,372,
31,78,90,94,107,142,158,245,283,337,369,
32,88,88,110,126,147,202,229,310,337,389,
33,77,99,116,130,184,217,274,301,341,341,
34,83,88,104,150,170,238,254,301,301,301,
35,71,86,120,138,184,201,246,246,246,246,
36,60,77,93,132,151,200,200,200,200,200,
37,54,73,98,110,143,143,143,143,143,143,
38,56,72,78,114,114,114,114,114,114,114,
39,38,46,78,78,78,78,78,78,78,78,
40,18,44,44,44,44,44,44,44,44,44,
41,22,22,22,22,22,22,22,22,22,22,
42,15,15,15,15,15,15,15,15,15,15,
