TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,15,15,15,15,15,15,15,15,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,8,8,8,8,8,8,
10,48,48,48,48,48,48,48,48,48,48,
11,1,1,9,9,17,17,17,17,18,18,
12,16,16,29,29,32,32,34,34,35,35,
13,9,9,9,9,13,13,14,14,36,36,
14,12,12,13,13,13,13,15,15,20,20,
15,28,28,28,28,33,33,38,38,74,74,
16,12,12,14,14,19,19,20,29,32,32,
17,44,44,65,65,139,139,178,178,198,198,
18,26,26,31,31,33,52,53,59,60,70,
19,60,60,118,118,137,137,145,145,153,153,
20,76,76,81,90,95,95,97,98,101,101,
21,49,49,123,123,131,131,142,142,146,146,
22,70,79,85,102,109,114,118,122,128,162,
23,97,97,144,144,156,156,176,176,199,199,
24,52,75,84,108,116,124,126,146,154,161,
25,91,91,121,121,156,156,176,176,211,219,
26,57,79,97,119,124,151,151,168,177,215,
27,112,112,142,142,188,188,213,220,254,264,
28,41,68,80,118,122,141,147,179,200,285,
29,109,109,160,160,184,191,223,236,314,357,
30,64,97,107,142,146,182,200,269,297,401,
31,120,120,152,155,190,201,265,301,352,372,
32,85,128,136,169,183,242,261,336,346,374,
33,104,106,141,151,181,207,241,268,296,296,
34,56,88,100,152,167,224,239,272,272,272,
35,91,96,128,148,173,190,214,214,214,214,
36,46,90,103,138,148,181,181,181,181,181,
37,70,76,94,103,127,127,127,127,127,127,
38,41,67,74,108,108,108,108,108,108,108,
39,24,30,49,49,49,49,49,49,49,49,
40,20,36,36,36,36,36,36,36,36,36,
41,17,17,17,17,17,17,17,17,17,17,
42,9,9,9,9,9,9,9,9,9,9,
