TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,5,5,5,5,5,5,5,5,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,3,3,3,3,3,3,
9,18,18,18,18,19,19,19,19,19,19,
10,0,0,3,3,3,3,3,3,4,4,
11,9,9,9,9,13,13,14,14,18,18,
12,16,16,21,21,28,28,31,31,36,36,
13,12,12,14,14,20,20,24,24,47,47,
14,5,5,6,6,8,8,11,11,19,19,
15,30,30,34,34,38,38,41,41,55,55,
16,49,49,52,52,54,54,56,58,63,63,
17,39,39,59,59,118,118,163,163,168,168,
18,24,24,28,28,31,32,35,35,44,44,
19,64,64,81,81,93,93,99,100,105,105,
20,57,57,65,66,72,72,77,77,80,80,
21,70,70,97,97,131,132,143,145,149,151,
22,41,42,55,56,65,67,79,80,91,102,
23,93,93,107,108,116,116,134,138,161,170,
24,85,86,107,107,112,112,118,128,149,154,
25,100,101,107,110,123,127,140,161,188,208,
26,53,53,72,72,84,93,113,124,153,172,
27,104,105,113,119,153,169,193,213,277,290,
28,80,80,102,108,133,136,158,189,212,339,
29,107,110,120,130,170,192,245,262,374,403,
30,58,60,95,98,129,153,171,289,309,427,
31,91,99,108,130,193,214,305,327,398,403,
32,71,74,105,121,146,224,242,350,352,400,
33,105,122,137,153,223,241,320,321,343,343,
34,74,81,94,149,162,257,257,299,299,299,
35,100,118,151,162,223,224,244,244,244,244,
36,68,89,100,162,164,203,203,203,203,203,
37,62,77,115,115,130,130,130,130,130,130,
38,40,67,68,97,97,97,97,97,97,97,
39,32,33,46,46,46,46,46,46,46,46,
40,24,34,34,34,34,34,34,34,34,34,
41,9,9,9,9,9,9,9,9,9,9,
42,9,9,9,9,9,9,9,9,9,9,
