TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,4,4,4,4,4,4,4,4,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,9,9,9,9,9,9,9,9,
7,0,0,0,0,0,0,1,1,1,1,
8,0,0,0,0,3,3,3,3,3,3,
9,31,31,31,31,32,32,32,32,32,32,
10,19,19,26,26,27,27,28,28,28,28,
11,6,6,11,11,14,14,14,14,14,14,
12,30,30,38,38,39,39,41,41,43,43,
13,14,14,16,16,22,22,22,22,49,49,
14,24,24,24,24,26,26,32,32,38,38,
15,47,47,57,57,65,65,68,69,81,81,
16,23,23,29,29,41,41,44,44,50,50,
17,84,84,96,96,134,135,167,167,168,168,
18,49,49,55,55,63,63,64,64,66,66,
19,84,84,92,93,98,98,99,99,102,102,
20,38,38,51,51,61,61,64,64,65,65,
21,78,79,92,97,117,117,120,120,122,122,
22,72,72,78,78,86,86,94,94,110,112,
23,79,85,100,100,103,103,110,110,116,122,
24,61,61,72,72,80,80,88,92,105,121,
25,73,74,84,84,102,102,105,110,141,160,
26,64,64,81,81,91,93,105,124,153,174,
27,77,77,86,86,107,111,146,158,203,231,
28,64,64,77,79,90,104,127,159,194,337,
29,86,86,89,91,139,152,191,206,316,355,
30,67,67,81,94,124,156,183,291,314,372,
31,100,101,110,113,186,199,287,315,336,367,
32,78,81,85,106,123,228,249,292,317,353,
33,103,106,121,128,218,238,254,277,316,316,
34,64,68,80,172,184,219,237,282,282,282,
35,85,91,158,163,179,197,229,229,229,229,
36,61,98,112,141,154,194,194,194,194,194,
37,56,61,73,83,114,114,114,114,114,114,
38,47,61,67,90,90,90,90,90,90,90,
39,16,22,42,42,42,42,42,42,42,42,
40,16,33,33,33,33,33,33,33,33,33,
41,17,17,17,17,17,17,17,17,17,17,
42,12,12,12,12,12,12,12,12,12,12,
