TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,15,15,15,15,15,15,15,15,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,5,5,5,5,5,5,
10,30,30,30,30,30,30,31,31,31,31,
11,6,6,11,11,18,18,18,18,18,18,
12,37,37,57,57,65,65,66,66,66,66,
13,10,10,11,11,14,14,14,14,36,36,
14,11,11,21,21,21,21,23,23,27,27,
15,48,48,50,50,56,56,59,59,75,75,
16,22,22,23,23,27,27,27,33,36,36,
17,36,36,51,51,111,111,158,158,166,166,
18,27,27,28,29,32,39,41,42,42,45,
19,45,45,79,79,89,89,98,98,104,104,
20,72,74,76,84,88,92,93,93,93,93,
21,66,66,120,120,125,125,127,127,130,130,
22,53,58,60,76,79,82,82,83,85,96,
23,74,74,109,109,120,120,139,139,155,155,
24,49,62,69,82,85,86,87,96,101,102,
25,76,76,98,98,119,119,141,141,154,158,
26,56,63,73,89,92,100,100,103,114,154,
27,104,104,113,113,145,145,164,166,238,261,
28,54,73,91,97,100,104,111,152,179,299,
29,111,111,124,124,164,164,217,237,353,379,
30,59,76,88,94,105,142,162,265,274,422,
31,116,116,142,142,205,222,309,325,403,415,
32,56,68,76,110,127,231,236,362,375,410,
33,108,108,158,167,240,254,321,341,359,359,
34,52,80,94,180,188,277,293,327,327,327,
35,143,147,196,206,246,262,279,279,279,279,
36,56,121,126,193,205,238,238,238,238,238,
37,90,95,122,133,149,149,149,149,149,149,
38,59,101,108,132,132,132,132,132,132,132,
39,44,50,63,63,63,63,63,63,63,63,
40,34,53,53,53,53,53,53,53,53,53,
41,18,18,18,18,18,18,18,18,18,18,
42,8,8,8,8,8,8,8,8,8,8,
