TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,18,18,18,18,18,18,18,18,
7,0,0,0,0,0,0,0,0,0,0,
8,18,18,18,18,18,18,18,18,18,18,
9,0,0,0,0,7,7,7,7,7,7,
10,42,42,42,42,42,42,42,42,42,42,
11,1,1,13,13,16,16,16,16,16,16,
12,13,13,45,45,45,45,45,45,45,45,
13,4,4,4,4,9,9,9,9,35,35,
14,20,20,22,22,22,22,22,22,23,23,
15,31,31,32,32,35,35,40,40,66,66,
16,21,21,23,23,29,29,29,40,41,41,
17,36,36,53,53,137,137,188,188,193,193,
18,15,15,18,18,24,44,45,50,52,58,
19,59,59,116,116,133,133,140,140,150,150,
20,108,108,110,120,126,126,126,127,128,128,
21,67,67,147,147,157,157,167,167,168,168,
22,81,95,97,115,122,127,130,132,136,138,
23,122,122,156,156,166,166,171,171,175,175,
24,42,85,92,102,108,111,111,111,118,121,
25,87,87,104,104,120,120,125,125,141,152,
26,70,97,101,108,110,110,115,122,138,163,
27,105,105,118,118,138,138,150,158,203,219,
28,75,93,103,103,109,113,127,150,177,260,
29,70,70,74,74,97,107,143,163,241,286,
30,49,54,67,70,85,100,120,197,222,341,
31,96,96,108,112,145,166,229,259,325,346,
32,66,75,85,99,120,180,193,288,301,345,
33,77,79,99,111,170,192,248,272,302,302,
34,77,91,107,138,146,216,226,266,266,266,
35,79,85,113,124,159,180,202,202,202,202,
36,56,77,86,122,135,169,169,169,169,169,
37,42,47,66,75,104,104,104,104,104,104,
38,36,53,61,87,87,87,87,87,87,87,
39,25,31,50,50,50,50,50,50,50,50,
40,17,35,35,35,35,35,35,35,35,35,
41,14,14,14,14,14,14,14,14,14,14,
42,10,10,10,10,10,10,10,10,10,10,
