TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,14,14,14,14,14,14,14,14,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,4,4,4,4,4,4,
10,30,30,30,30,30,30,31,31,31,31,
11,7,7,11,11,16,16,16,16,16,16,
12,24,24,52,52,56,56,58,58,58,58,
13,11,11,11,11,16,16,17,17,34,34,
14,6,6,6,6,6,6,10,10,15,15,
15,33,33,33,33,37,37,39,39,53,53,
16,18,18,18,18,24,24,27,32,35,35,
17,35,35,44,44,91,91,125,125,145,145,
18,26,26,27,27,37,50,55,59,62,70,
19,50,50,79,79,88,88,98,98,111,111,
20,84,84,90,95,102,102,103,104,107,107,
21,45,45,102,102,113,113,125,125,129,129,
22,55,62,70,98,106,106,107,112,116,121,
23,86,86,106,106,115,115,130,130,144,144,
24,47,67,78,80,85,86,87,94,101,104,
25,94,94,108,108,134,134,143,143,151,163,
26,75,92,104,106,111,120,130,131,153,196,
27,118,118,127,127,163,163,178,182,258,288,
28,67,80,99,106,116,131,146,185,227,335,
29,116,116,133,133,166,172,239,276,356,397,
30,72,83,103,119,139,182,215,304,321,433,
31,104,104,129,133,196,226,296,333,404,414,
32,63,79,94,138,164,234,264,371,379,400,
33,114,116,165,183,238,275,330,337,353,353,
34,68,106,123,185,210,301,305,326,326,326,
35,134,143,185,209,244,251,263,263,263,263,
36,63,104,124,185,190,221,221,221,221,221,
37,80,90,114,116,131,131,131,131,131,131,
38,51,79,81,103,103,103,103,103,103,103,
39,39,40,52,52,52,52,52,52,52,52,
40,23,41,41,41,41,41,41,41,41,41,
41,14,14,14,14,14,14,14,14,14,14,
42,8,8,8,8,8,8,8,8,8,8,
