1 : 13
2 : 12.85
3 : 12
4 : 12.2
5 : 11.75
6 : 12.3
7 : 12
8 : 11.25
9 : 10.4
10 : 10.1
11 : 9.2
12 : 8.8
13 : 7.8
14 : 7.45
15 : 7.05
16 : 5.65
17 : 5
18 : 4.55
19 : 4.3
20 : 3.95
21 : 3.75
22 : 2
23 : 1.6
24 : 1.1
25 : 0.55
26 : 0.5
27 : 0.2
28 : 0.2
29 : 0.1
30 : 0.05
31 : 0.05
32 : 0.05
33 : 0.05
34 : 0.05
35 : 0.05
36 : 0.05
37 : 0.05
38 : 0.05
39 : 0.05
40 : 0
41 : 0
42 : 0
