TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,4,4,4,4,4,4,4,4,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,1,1,1,1,1,
9,18,18,18,18,18,18,18,18,18,18,
10,0,0,5,5,7,7,7,7,8,8,
11,2,2,2,2,4,4,4,4,5,5,
12,24,24,34,34,40,40,46,46,49,49,
13,29,29,34,34,54,54,60,60,88,88,
14,13,13,14,14,18,18,24,24,25,25,
15,75,75,80,80,81,81,92,92,112,112,
16,47,47,51,51,60,60,61,62,64,64,
17,45,45,52,52,87,87,120,120,130,130,
18,28,28,35,35,40,41,48,48,53,53,
19,81,81,93,93,110,110,117,117,120,120,
20,60,60,61,62,74,74,79,79,84,84,
21,77,77,105,105,122,122,132,132,136,137,
22,63,64,72,78,97,97,108,108,119,124,
23,100,100,113,113,121,121,129,132,147,153,
24,81,86,94,94,103,103,109,114,128,154,
25,94,94,102,102,115,116,124,129,167,200,
26,53,57,68,68,87,91,101,129,161,217,
27,101,101,106,106,120,127,173,199,265,277,
28,67,67,86,88,100,122,147,195,222,316,
29,100,101,110,112,159,174,240,251,323,382,
30,90,91,104,123,144,182,204,292,336,398,
31,106,114,128,134,198,208,273,322,353,371,
32,88,90,104,132,147,231,268,319,332,354,
33,100,106,130,136,207,235,264,277,300,300,
34,84,90,98,161,177,229,238,266,266,266,
35,93,102,151,162,192,202,219,219,219,219,
36,63,84,96,139,149,171,171,171,171,171,
37,44,53,79,90,103,103,103,103,103,103,
38,36,55,61,79,79,79,79,79,79,79,
39,18,24,39,39,39,39,39,39,39,39,
40,14,28,28,28,28,28,28,28,28,28,
41,15,15,15,15,15,15,15,15,15,15,
42,9,9,9,9,9,9,9,9,9,9,
