TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,5,5,5,5,5,5,5,5,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,15,15,15,15,15,15,15,15,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,6,6,6,6,6,6,
10,36,36,36,36,36,36,36,36,36,36,
11,1,1,7,7,11,11,11,11,12,12,
12,25,25,45,45,45,45,45,45,45,45,
13,3,3,4,4,8,8,8,8,32,32,
14,18,18,25,25,28,28,30,30,30,30,
15,23,23,25,25,30,30,38,38,64,64,
16,12,12,13,13,13,13,17,24,28,28,
17,44,44,63,63,123,123,158,158,171,171,
18,25,25,31,31,31,48,49,55,55,61,
19,60,60,110,110,123,123,129,129,143,143,
20,87,87,95,102,103,103,104,105,109,109,
21,69,69,164,164,171,171,182,182,188,189,
22,78,86,90,115,118,119,120,123,136,179,
23,120,120,129,129,152,152,174,175,221,221,
24,28,68,81,82,93,98,102,147,149,158,
25,117,117,128,128,182,183,198,199,230,234,
26,62,100,111,148,151,185,187,200,206,245,
27,140,140,192,192,232,232,259,261,311,321,
28,70,100,112,157,159,177,186,225,249,353,
29,146,146,172,172,224,224,273,295,369,402,
30,72,111,119,151,154,207,232,320,333,417,
31,144,144,186,186,233,253,297,308,357,375,
32,74,114,121,165,183,256,259,335,347,380,
33,128,128,167,178,224,232,260,286,308,308,
34,55,94,109,168,173,226,241,284,284,284,
35,107,113,149,153,167,183,208,208,208,208,
36,50,103,107,141,155,188,188,188,188,188,
37,80,86,96,107,124,124,124,124,124,124,
38,45,72,80,103,103,103,103,103,103,103,
39,37,42,58,58,58,58,58,58,58,58,
40,25,49,49,49,49,49,49,49,49,49,
41,19,19,19,19,19,19,19,19,19,19,
42,11,11,11,11,11,11,11,11,11,11,
