TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,4,4,4,4,4,4,4,4,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,6,6,6,6,6,6,6,6,7,7,
10,0,0,0,0,1,1,1,1,1,1,
11,7,7,8,8,8,8,8,8,9,9,
12,11,11,35,35,35,35,36,36,39,39,
13,11,11,12,12,24,24,28,28,57,57,
14,25,25,25,25,26,26,30,30,36,36,
15,45,45,48,48,49,49,52,52,58,58,
16,38,38,38,38,42,42,47,47,54,54,
17,55,55,67,67,110,110,142,142,144,144,
18,40,40,44,44,48,48,51,51,56,56,
19,56,56,61,61,65,65,65,65,67,67,
20,40,40,49,49,63,63,71,71,77,77,
21,83,83,98,98,101,101,106,106,111,114,
22,48,48,52,52,57,57,62,62,73,77,
23,73,73,95,95,113,113,117,119,135,142,
24,67,67,74,74,89,89,98,102,119,119,
25,103,103,109,109,131,132,138,143,155,182,
26,75,75,91,91,104,107,113,115,142,172,
27,101,101,107,109,132,135,150,171,208,225,
28,66,66,88,91,99,102,120,147,175,277,
29,105,107,122,124,153,167,218,232,319,362,
30,79,80,100,102,117,140,156,243,274,376,
31,102,106,113,115,170,180,258,295,357,372,
32,54,55,74,91,104,188,206,293,317,362,
33,88,92,111,117,195,214,274,292,327,327,
34,59,64,74,149,166,239,253,297,297,297,
35,89,94,140,152,211,222,254,254,254,254,
36,50,77,89,154,160,201,201,201,201,201,
37,65,68,104,111,137,137,137,137,137,137,
38,53,74,76,112,112,112,112,112,112,112,
39,24,25,48,48,48,48,48,48,48,48,
40,18,39,39,39,39,39,39,39,39,39,
41,21,21,21,21,21,21,21,21,21,21,
42,15,15,15,15,15,15,15,15,15,15,
