TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,8,8,8,8,8,8,8,8,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,2,2,2,2,
8,0,0,0,0,1,1,1,1,1,1,
9,72,72,72,72,73,73,73,73,73,73,
10,6,6,11,11,11,11,11,11,11,11,
11,8,8,9,9,10,10,10,10,10,10,
12,52,52,76,76,77,77,78,78,80,80,
13,14,14,14,14,16,16,16,16,34,34,
14,32,32,33,33,42,42,55,55,61,61,
15,43,43,45,45,47,47,50,50,63,63,
16,58,58,68,68,71,71,82,82,95,95,
17,82,82,92,92,122,122,148,148,156,156,
18,72,72,73,73,81,81,89,90,102,102,
19,75,75,78,78,90,90,94,94,97,97,
20,45,45,56,56,64,65,76,76,83,83,
21,90,90,105,105,109,110,112,113,114,114,
22,73,73,85,86,92,92,103,103,107,107,
23,104,104,115,117,126,129,132,132,133,136,
24,51,52,76,81,91,91,102,102,115,115,
25,122,127,136,144,150,159,160,162,176,186,
26,95,96,119,123,136,136,144,145,172,208,
27,131,145,160,160,171,177,187,196,271,282,
28,95,96,111,113,123,125,139,180,205,287,
29,120,130,139,140,152,156,218,224,293,314,
30,85,86,107,110,124,159,171,230,251,337,
31,95,102,111,115,158,163,238,255,314,331,
32,90,92,102,120,124,194,204,279,297,336,
33,98,108,125,127,192,206,266,280,307,307,
34,80,83,89,139,150,222,233,267,267,267,
35,68,74,118,126,185,193,216,216,216,216,
36,56,71,79,137,147,176,176,176,176,176,
37,52,57,97,101,120,120,120,120,120,120,
38,72,85,88,108,108,108,108,108,108,108,
39,19,22,37,37,37,37,37,37,37,37,
40,18,29,29,29,29,29,29,29,29,29,
41,11,11,11,11,11,11,11,11,11,11,
42,8,8,8,8,8,8,8,8,8,8,
