TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,30,30,30,30,30,30,30,30,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,7,7,7,7,7,7,
10,42,42,42,42,42,42,43,43,43,43,
11,0,0,7,7,11,11,11,11,11,11,
12,20,20,44,44,44,44,46,46,46,46,
13,13,13,13,13,21,21,21,21,43,43,
14,10,10,11,11,11,11,15,15,18,18,
15,49,49,50,50,55,55,62,62,80,80,
16,21,21,22,22,23,23,23,29,29,29,
17,28,28,47,47,104,104,147,147,159,159,
18,40,40,42,42,44,58,58,62,62,66,
19,44,44,79,79,88,88,104,104,109,109,
20,88,88,94,100,104,104,104,104,105,105,
21,59,59,142,142,147,147,154,154,154,154,
22,71,78,82,101,112,113,116,116,122,137,
23,87,87,118,118,138,138,153,153,171,171,
24,66,91,96,101,105,109,109,123,125,131,
25,119,119,127,127,156,156,178,178,195,199,
26,78,100,123,132,134,144,145,149,164,205,
27,92,92,115,115,153,153,168,174,245,263,
28,84,91,102,115,122,130,136,166,196,320,
29,118,118,151,152,187,189,244,269,356,408,
30,99,112,128,154,159,207,228,301,325,434,
31,124,125,163,165,224,242,302,336,394,418,
32,73,97,103,155,172,255,267,359,377,413,
33,125,126,184,191,246,267,301,337,359,359,
34,59,106,122,206,217,278,300,330,330,330,
35,154,159,192,201,220,243,267,267,267,267,
36,70,147,157,195,211,237,237,237,237,237,
37,111,119,133,148,168,168,168,168,168,168,
38,63,104,115,139,139,139,139,139,139,139,
39,41,47,59,59,59,59,59,59,59,59,
40,29,44,44,44,44,44,44,44,44,44,
41,20,20,20,20,20,20,20,20,20,20,
42,10,10,10,10,10,10,10,10,10,10,
