TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,6,6,6,6,6,6,
9,36,36,36,36,38,38,38,38,38,38,
10,12,12,18,18,18,18,18,18,18,18,
11,7,7,9,9,9,9,9,9,10,10,
12,15,15,25,25,44,44,50,50,56,56,
13,14,14,15,15,22,22,30,30,52,52,
14,12,12,12,12,12,12,13,13,13,13,
15,53,53,62,62,63,63,71,71,80,80,
16,30,30,31,31,32,32,32,32,34,34,
17,49,49,57,57,101,101,142,142,144,144,
18,45,45,51,51,55,55,55,55,56,56,
19,78,78,92,92,106,106,112,112,120,121,
20,58,58,59,59,67,67,70,70,81,81,
21,92,92,109,109,144,144,163,164,173,175,
22,47,47,53,53,65,65,72,73,81,82,
23,92,92,103,103,119,121,134,134,139,140,
24,58,58,68,68,83,83,83,85,109,142,
25,96,96,101,104,118,122,133,135,174,182,
26,67,67,82,82,90,93,111,130,143,164,
27,93,95,106,114,143,144,170,170,232,240,
28,72,72,85,88,100,121,128,152,171,273,
29,105,113,132,133,169,172,195,205,314,349,
30,55,59,87,103,115,133,151,254,286,373,
31,101,103,120,121,160,175,268,295,348,377,
32,83,85,97,114,137,206,218,313,339,384,
33,78,85,100,114,187,202,262,290,324,324,
34,57,63,76,140,151,222,246,295,295,295,
35,66,78,118,133,184,205,237,237,237,237,
36,62,81,90,149,166,214,214,214,214,214,
37,62,71,103,111,144,144,144,144,144,144,
38,52,73,78,111,111,111,111,111,111,111,
39,35,40,64,64,64,64,64,64,64,64,
40,22,43,43,43,43,43,43,43,43,43,
41,16,16,16,16,16,16,16,16,16,16,
42,12,12,12,12,12,12,12,12,12,12,
